token,Label-Vinicius,Label-other-group,Label-Feida
Yoshua,O,O,O
Bengio,O,O,O
OC,O,O,O
FRS,O,O,O
FRSC,O,O,O
(born,O,O,O
March,B-Date,B,B
5,I-Date,I,I
1964]),I-Date,I,I
is,O,O,O
a,O,O,O
Canadian,O,O,O
computer,O,O,O
"scientist,",O,O,O
most,O,O,O
noted,O,O,O
for,O,O,O
his,O,O,O
work,O,O,O
on,O,O,O
artificial,O,O,O
neural,O,O,O
networks,O,O,O
and,O,O,O
deep,O,O,O
learning.,O,O,O
He,O,O,O
is,O,O,O
a,O,O,O
professor,O,O,O
at,O,O,O
the,O,O,O
Department,O,O,O
of,O,O,O
Computer,O,O,O
Science,O,O,O
and,O,O,O
Operations,O,O,O
Research,O,O,O
at,O,O,O
the,O,O,O
Université,O,O,O
de,O,O,O
Montréal,O,O,O
and,O,O,O
scientific,O,O,O
director,O,O,O
of,O,O,O
the,O,O,O
Montreal,O,O,O
Institute,O,O,O
for,O,O,O
Learning,O,O,O
Algorithms,O,O,O
(MILA).,O,O,O
Bengio,O,O,O
received,O,O,O
the,O,O,O
2018,B-Date,B,B
ACM,O,O,O
A.M.,O,O,O
Turing,O,O,O
Award,O,O,O
(often,O,O,O
referred,O,O,O
to,O,O,O
as,O,O,O
the,O,O,O
"""Nobel",O,O,O
Prize,O,O,O
of,O,O,O
"Computing""),",O,O,O
together,O,O,O
with,O,O,O
Geoffrey,O,O,O
Hinton,O,O,O
and,O,O,O
Yann,O,O,O
"LeCun,",O,O,O
for,O,O,O
their,O,O,O
work,O,O,O
on,O,O,O
deep,O,O,O
learning.,O,O,O
"Bengio,",O,O,O
"Hinton,",O,O,O
and,O,O,O
"LeCun,",O,O,O
are,O,O,O
sometimes,O,O,O
referred,O,O,O
to,O,O,O
as,O,O,O
the,O,O,O
"""Godfathers",O,O,O
of,O,O,O
"AI""",O,O,O
and,O,O,O
"""Godfathers",O,O,O
of,O,O,O
Deep,O,O,O
"Learning"".",O,O,O
As,O,O,O
of,O,O,O
May,B-Date,B,B
2023,I-Date,I,I
he,O,O,O
is,O,O,O
the,O,O,O
most,O,O,O
cited,O,O,O
computer,O,O,O
scientist,O,O,O
by,O,O,O
h-index.,O,O,O
Bengio,O,O,O
was,O,O,O
born,O,O,O
in,O,O,O
France,O,O,O
to,O,O,O
a,O,O,O
Jewish,O,O,O
family,O,O,O
who,O,O,O
immigrated,O,O,O
to,O,O,O
France,O,O,O
from,O,O,O
"Morocco,",O,O,O
and,O,O,O
then,O,O,O
immigrated,O,O,O
again,O,O,O
to,O,O,O
Canada.,O,O,O
He,O,O,O
received,O,O,O
his,O,O,O
Bachelor,O,O,O
of,O,O,O
Science,O,O,O
degree,O,O,O
(electrical,O,O,O
"engineering),",O,O,O
MSc,O,O,O
(computer,O,O,O
science),O,O,O
and,O,O,O
PhD,O,O,O
(computer,O,O,O
science),O,O,O
from,O,O,O
McGill,O,O,O
University.,O,O,O
The,O,O,O
Bengio,O,O,O
brothers,O,O,O
lived,O,O,O
in,O,O,O
Morocco,O,O,O
for,O,O,O
a,B-Date,O,O
year,I-Date,B,O
during,O,O,O
their,O,O,O
father's,O,O,O
military,O,O,O
service,O,O,O
there.,O,O,O
His,O,O,O
"father,",O,O,O
Carlo,O,O,O
"Bengio,",O,O,O
was,O,O,O
a,O,O,O
