title,artist
"Palhaçada","Dóris Monteiro"
"Blue Moon","The Marcels"
"Bat Masterson","Carlos Gonzaga"
"Faz-me Rir","Edith Veiga"
"Biquíni De Bolinha Amarelinha","Ronnie Cord"
"Its Now Or Never","Elvis Presley"
"Surrender","Elvis Presley"
"Negue","Nelson Gonçalves"
"Maringá","Carlos Galhardo"
"Ninguém É De Ninguém","Cauby Peixoto"
"Boato","Elza Soares"
"Solidão","Núbia Lafayette"
"Ansiedad","Nat King Cole"
"Devaneio","Djalma Ferreira"
"The Twist","Chubby Checker"
"Mulata Assanhada","Miltinho"
"calcutta","Lawrence Welk"
"Look For A Star","Garry Miles"
"Exodus","Ferrante & Teicher"
"Apache","The Jet Black’s"
"La Barca","Trio Cristal"
"O Barquinho","João Gilberto"
"Runaway","Del Shannon"
"My Home Town","Paul Anka"
"Corinna, corinna","Demetrius"
"Coração De Luto","Teixerinha"
"Agora","Alcides Gerardi"
"Perdão Para Dois","Cauby Peixoto"
"Perdoa-me Pelo Bem, Que Te Quero","Orlando Dias"
"Poema Do Adeus","Miltinho"
"Bata Baby","Wilson Miranda"
"Wonderland By Night","Bert Kaempfert"
"Ternura Antiga","Tito Madi"
"Só Vou De Mulher","Os Cariocas"
"Água De Beber","Isaura Garcia"
"Pony Time","Chubby Checker"
"Never On Sunday","Melina Mercouri"
"Michael","The Highwaymen"
"G.i.blues","Elvis Presley"
"Aliança","Fernando Barreto"
"Marcha Do Pintinho","Emilinha Borba"
"A Noiva","Angela Maria"
"Ninguém Chora Por Mim","Moacyr Franco"
"O Amor Em Paz","João Gilberto"
"Olga","Os Cometas"
"Wheels","String-a-longs"
"O Amor Em Paz","João Gilberto"
"Amor Impossível","Carlos Nobre"
"Cadeira Vazia","Elza Soares"
"Dinah","Clério Morais"
"Abismo De Rosas","Dilermando Reis"
"Ironia","Carlos Nobre"
"Apache","The Shadows"
"Tenho Ciúme De Tudo","orlando Dias"
"Justiça De Deus","Leila Silva"
"Lágrimas de palhaço","Osny Silva"
"Never On Sunday","Don Costa And His Orchestra And Chorus"
"Paciência","Osny Silva"
"Green Fields","Os Cantores De Ébano"
"Maria Chiquinha","Sonia Mamede & Evaldo Gouveia"
"Poema Das Mãos","Moacyr Franco"
"Leva Eu Sodade","Nilo Amaro e Os Cantores do Ébano"
"Run Samson Run","Neil Sedaka"
"Saudade","Dalva De Oliveira"
"Louco Por Você","Roberto Carlos"
"A Lua É Dos Namorados","Ângela Maria"
"O Bom Menino","Carequinha"
"Abaixo De Deus","Jorge Veiga"
"Amargo retorno","Trio Cristal"
"Seria Tão Diferente","Núbia Lafayette"
"Analfabeta Em Amor","Ellen De Lima"
"Não Sabemos","Leila Silva"
"As Folhas Verdes De Verão","Wilma Bentivegna"
"Quero Morrer No Carnaval","Linda Batista"
"Devolvi","Núbia Lafayette"
"Ave Maria","Dalva De Oliveira"
"Me Leva Pro Ceu","Emilinha Borba"
"Não Me Envergonho","Osny Silva"
"Zé Bonitinho","Jorge Loredo"
"Beija Me Depois","Anísio Silva"
"Deixa Andar","Elizeth Cardoso"
"Rock Do Ratinho","Carequinha"
"Borrasca","Angela Maria"
"Bouddha","The Jordans"
"Minhas namoradas","Cauby Peixoto"
"Save the last dance for me","Ronnie Lummer"
"Rock Do Saci","Demetrius"
"Alma De Boêmio","José Orlando"
"Cansei De Rock","Nora Ney"
"Eu já te vi","Rogéria"
"Castiguei","Altamiro Carrilho"
"My Love For You","Johnny Mathis"
"Chega","Carlos Augusto"
"Hey Mama","Celly Campello"
"Fica Comigo Esta Noite","Nelson Gonçalves"
"Per Omnia Saecula","Carminha Mascarenhas"
"Triste Regresso","Leo Belico"
"Näo Sou De Nada","Fernando Costa"
"Poema das mãos","João Dias"
"Não deixe a peteca cair","Trio Irakitan"
