title,artist,lyrics
"Velha Infância","Tribalistas","Você é assim
Um sonho pra mim
E quando eu não te vejo
Eu penso em você
Desde o amanhecer
Até quando eu me deito

Eu gosto de você
E gosto de ficar com você
Meu riso é tão feliz contigo
O meu melhor amigo é o meu amor

E a gente canta
E a gente dança
E a gente não se cansa
De ser criança
A gente brinca
Na nossa velha infância

Seus olhos, meu clarão
Me guiam dentro da escuridão
Seus pés me abrem o caminho
Eu sigo e nunca me sinto só

Você é assim
Um sonho pra mim
Quero te encher de beijos
Eu penso em você
Desde o amanhecer
Até quando eu me deito

Eu gosto de você
E gosto de ficar com você
Meu riso é tão feliz contigo
O meu melhor amigo é o meu amor

E a gente canta
A gente dança
A gente não se cansa
De ser criança
A gente brinca
Na nossa velha infância

Seus olhos, meu clarão
Me guiam dentro da escuridão
Seus pés me abrem o caminho
Eu sigo e nunca me sinto só

Você é assim
Um sonho pra mim
Você é assim

Você é assim
Um sonho pra mim
Você é assim

Você é assim
Um sonho pra mim
Você é assim

Você é assim
Um sonho pra mim
E quando eu não te vejo
Eu penso em você
Desde o amanhecer
Até quando eu me deito

Eu gosto de você
E gosto de ficar com você
Meu riso é tão feliz contigo
O meu melhor amigo é o meu amor"
"To Nem Ai","Luka","De mãos atadas, de pés descalços
Com você meu mundo andava de pernas pro ar
Sempre armada, segui seus passos
Atei seus braços pra você não me abandonar

Já nem lembro seu nome
Seu telefone eu fiz questão de apagar
Aceitei os meus erros, me reinventei e virei a página
Agora eu tô em outra

Tô nem aí, tô nem aí
Pode ficar com seu mundinho
Eu não tô nem aí
Tô nem aí, tô nem aí
Não vem falar dos seus problemas
Que eu não vou ouvir

Boca fechada, sem embaraços
Eu te dei todas as chances de ser um bom rapaz
Mas fui vencida pelo cansaço
Nosso amor foi enterrado e descansa em paz

Já nem lembro seu nome
Seu telefone eu fiz questão de apagar
Aceitei os meus erros, me reinventei e virei a página
Agora eu tô em outra

Tô nem aí, tô nem aí
Pode ficar com seu mundinho
Eu não tô nem aí
Tô nem aí, tô nem aí
Não vem falar dos seus problemas
Que eu não vou ouvir

Tô nem aí, tô nem aí
Pode ficar com seu mundinho
Eu não to nem aí

Tô nem aí, tô nem aí
Não vem falar dos seus problemas
Que eu não vou ouvir"
"Mais Uma Vez","Renato Russo","Mas é claro que o Sol vai voltar amanhã
Mais uma vez, eu sei
Escuridão já vi pior, de endoidecer gente sã
Espera que o Sol já vem

Tem gente que está do mesmo lado que você
Mas deveria estar do lado de lá
Tem gente que machuca os outros
Tem gente que não sabe amar

Tem gente enganando a gente
Veja a nossa vida como está
Mas eu sei que um dia a gente aprende
Se você quiser alguém em quem confiar
Confie em si mesmo
Quem acredita sempre alcança

Mas é claro que o Sol vai voltar amanhã
Mais uma vez, eu sei
Escuridão já vi pior, de endoidecer gente sã
Espera que o Sol já vem

Nunca deixe que lhe digam
que não vale a pena acreditar no sonho que se tem
Ou que seus planos nunca vão dar certo
Ou que você nunca vai ser alguém

Tem gente que machuca os outros
Tem gente que não sabe amar
Mas eu sei que um dia a gente aprende
Se você quiser alguém em quem confiar
Confie em si mesmo
Quem acredita sempre alcança

Quem acredita sempre alcança
Quem acredita sempre alcança
Quem acredita sempre alcança
Quem acredita sempre alcança
Quem acredita sempre alcança
Quem acredita sempre alcança"
"Dois Rios","Skank","O céu está no chão
O céu não cai do alto, é o claro, é a escuridão
O céu que toca o chão
E o céu que vai no alto, dois lados deram as mãos

Como eu fiz também
Só pra poder conhecer
O que a voz da vida vem dizer

Que os braços sentem
E os olhos veem
Que os lábios sejam
Dois rios inteiros
Sem direção

O Sol é o pé e a mão
O Sol é a mãe e o pai, dissolve a escuridão
O Sol se põe, se vai
E após se pôr, o Sol renasce no Japão

Eu vi também
Só pra poder entender
Na voz, a vida ouvi dizer

Que os braços sentem
E os olhos veem
E os lábios beijam
Dois rios inteiros
Sem direção

E o meu lugar é esse, ao lado seu, no corpo inteiro
Dou o meu lugar, pois o seu lugar é o meu amor primeiro
O dia e a noite, as quatro estações

O céu está no chão
O céu não cai do alto, é o claro, é a escuridão
O céu que toca o chão
E o céu que vai no alto, dois lados deram as mãos

Como eu fiz também
Só pra poder conhecer
O que a voz da vida vem dizer

Que os braços sentem
E os olhos veem
E os lábios beijam
Dois rios inteiros
Sem direção

E o meu lugar é esse, ao lado seu, no corpo inteiro
Dou o meu lugar, pois o seu lugar é o meu amor primeiro
O dia e a noite, as quatro estações

Que os braços sentem
E os olhos veem
Que os lábios beijam
Dois rios inteiros
Sem direção"
"Amor Maior","Jota Quest","Eu quero ficar só
Mas comigo só eu não consigo
Eu quero ficar junto
Mas sozinho só não é possível

É preciso amar direito
Um amor de qualquer jeito
Ser amor a qualquer hora
Ser amor de corpo inteiro
Amor de dentro pra fora
Amor que eu desconheço

Quero um amor maior
Um amor maior que eu
Quero um amor maior
Um amor maior que eu

Eu quero ficar só
Mas comigo só eu não consigo
Eu quero ficar junto
Mas sozinho assim não é possível

É preciso amar direito
Um amor de qualquer jeito
Ser amor a qualquer hora
Ser amor de corpo inteiro
Um amor de dentro pra fora
Um amor que eu desconheço

Quero um amor maior
Um amor maior que eu
Quero um amor maior
Um amor maior que eu

Então seguirei meu coração até o fim
Pra saber se é amor
Magoarei mesmo assim, mesmo sem querer
Pra saber se é amor
Eu estarei mais feliz mesmo morrendo de dor
Pra saber se é amor, se é amor

Quero um amor maior
Um amor maior que eu
Quero um amor maior
Um amor maior que eu
Um amor maior que eu

Maior que eu
Um amor maior que eu"
"Por Causa de você","KLB","Só você não vê
Finge que não sabe
Que eu estou sofrendo
Por causa de você

Sonho que não vem
Luzes da cidade
E eu me sinto só
Por causa de você

Eu te quero tanto
Tanto que nem sei dizer
E a felicidade pra mim
É nunca perder você

Peço pra uma estrela
Pra te convencer, enfim
Que não sou ninguém sem você
E não há você sem mim"
"Coisas de casal","Alex Cohen","Tive sorte
De encontrar você
Que debocha
Do meu jeito de ser

De repente
Faz juras de amor
Me esquenta no frio
Me refresca no calor

A gente troca
A gente troca de lugar
A gente briga
A gente brinca de brigar

Chora de rir
Fica de mal
Coisas de casal
Coisas de casal

Chora de rir
Fica de mal
Coisas de casal
Coisas

Tive sorte
De encontrar você
Que debocha
Do meu jeito de ser

De repente
Faz juras de amor
Me esquenta no frio
Me refresca no calor

A gente troca
A gente troca de lugar
A gente briga
A gente brinca de brigar

Chora de rir
Fica de mal
Coisas de casal
Coisas de casal"
"Adoleta","Kelly Key","Me ganhou com esse jeito de menino
Tão alegre, tão meigo e distraído
Eu não sei onde esse amor vai me levar
(Esse amor vai me levar)

Que você é mais novo é verdade
Mas não quero saber da sua idade
Não vou mais fugir, eu vou deixar rolar
(Deixar rolar)

Te chamo pro cinema, você tem que estudar
E quando a gente sai sempre tem hora pra voltar
Não vê que eu tô na sua, louca pra te beijar
Se liga na ideia que eu vou te mandar

Não quero mais brincar, brincar de adoleta
Não quero mais brincar, brincar de adoleta
Eu quero

Le peti peti polá, le café com chocolá
Le peti peti polá, le café com chocolá

Não quero mais brincar, brincar de adoleta
Não quero mais brincar, brincar de adoleta
Eu quero

Le peti peti polá, le café com chocolá
Le peti peti polá, le café com chocolá

Me ganhou com esse jeito de menino
Tão alegre, tão meigo e distraído
Eu não sei onde esse amor vai me levar
(Esse amor vai me levar)

Que você é mais novo é verdade
Mas não quero saber da sua idade
Não vou mais fugir, eu vou deixar rolar
(Deixar rolar)

Te chamo pro cinema, você tem que estudar
E quando a gente sai sempre tem hora pra voltar
Não vê que eu tô na sua, louca pra te beijar
Se liga na ideia que eu vou te mandar

Não quero mais brincar, brincar de adoleta
Não quero mais brincar, brincar de adoleta
Eu quero

Le peti peti polá, le café com chocolá
Le peti peti polá, le café com chocolá

Não quero mais brincar, brincar de adoleta
Não quero mais brincar, brincar de adoleta
Eu quero

Le peti peti polá, le café com chocolá
Le peti peti polá, le café com chocolá

Dezessete, anos pré-vestibular
Pai enchendo o saco, tem que estudar
Já tive essa idade, sei como é que é
Mas tu tá lidando com uma mulher
Vê se me obedece, tem que respeitar
Você é gatinho, mas assim não dá
Quero atitude, quero atenção
Tem que dar valor ao que tu tem na mão

Te chamo pro cinema, você tem que estudar
E quando a gente sai sempre tem hora pra voltar
Não vê que eu tô na sua, louca pra te beijar
Se liga na ideia que eu vou te mandar

Não quero mais brincar, brincar de adoleta
Não quero mais brincar, brincar de adoleta
Eu quero

Le peti peti polá, le café com chocolá
Le peti peti polá, le café com chocolá

Não quero mais brincar, brincar de adoleta
Não quero mais brincar, brincar de adoleta
Eu quero

Le peti peti polá, le café com chocolá
Le peti peti polá, le café com chocolá

Le peti peti polá, le café com chocolá
Le peti peti polá, le café com chocolá

Não quero mais brincar, brincar de adoleta
Não quero mais brincar, brincar de adoleta"
"Já sei namorar","Tribalistas","Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh

Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh

Já sei namorar
Já sei beijar de língua, agora só me resta sonhar
Já sei onde ir
Já sei onde ficar, agora só me falta sair

Não tenho paciência pra televisão
Eu não sou audiência para a solidão
Eu sou de ninguém
Eu sou de todo mundo e todo mundo me quer bem
Eu sou de ninguém
Eu sou de todo mundo e todo mundo é meu também

Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh

Já sei namorar
Já sei chutar a bola, agora só me falta ganhar
Não tenho juiz
Se você quer a vida em jogo, eu quero é ser feliz

Não tenho paciência pra televisão
Eu não sou audiência para a solidão
Eu sou de ninguém
Eu sou de todo mundo e todo mundo me quer bem
Eu sou de ninguém
Eu sou de todo mundo e todo mundo é meu também

Tô te querendo como ninguém
Tô te querendo como Deus quiser
Tô te querendo como eu te quero
Tô te querendo como se quer

Tô te querendo como ninguém
Tô te querendo como Deus quiser
Tô te querendo como eu te quero
Tô te querendo como se quer

Uh-uh-uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh (tô te querendo)

Uh-uh-uh-uh-uh-uh-uh (tô te querendo) como Deus quiser
Uh-uh-uh-uh-uh-uh (tô te querendo) como eu te quero
Uh-uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh (tô te querendo)

Tô te querendo, tô te querendo (como Deus quiser)
Tô te querendo, tô te querendo (como eu te quero)
Tô te querendo, tô te querendo (como se quer)
Tô te querendo, tô te querendo (tô te querendo)

Uh-uh-uh-uh-uh-uh-uh (tô te querendo) como Deus quiser
Uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh-uh (tô te querendo)
Uh-uh-uh-uh-uh-uh (tô te querendo)"
"Brilha La Luna","Rouge","Quero uma noite pra bailar o zouk
Um grande amor e um belo luar
Una bela luna siempre va brilhar
Pra qualquer forasteiro em qualquer lugar, mas

Nunca esqueço de onde eu vim
Sei bem quem sou e aonde vou chegar
Por lo que pasé nunca podem me parar
Una bela luna siempre va brilhar

Quero tanto estar contigo
Só mais uma vez
E poder bailar o zouk
Como a primeira vez

Brilha la luna, oh, oh, oh
Mira que bela
Brilha la luna, oh, oh, oh
Una bela luna siempre va brilhar

Brilha la luna, oh, oh, oh
Mira que bela
Brilha la luna, oh, oh, oh
Una bela luna siempre va brilhar

Quero contar pro mundo tudo o que vi
O mundo que leva e traz a minha ilusão
Bate na alma, no meu coração
Não, não me importa mais que horas são

Vem de um reino distante o brilho desse som
Foi um grande rei quem me ensinou
Que um grande amor sempre vai chegar
Se uma bela lua no céu brilhar

Quero tanto estar contigo
Só mais uma vez
E poder bailar o zouk
Como a primeira vez

Brilha la luna, oh, oh, oh
Mira que bela
Brilha la luna, oh, oh, oh
Una bela luna siempre va brilhar

Brilha la luna, oh, oh, oh
Mira que bela
Brilha la luna, oh, oh, oh
Una bela luna siempre va brilhar

Hala ban, hala ban, hala bin, bin, bun, ban
Hala, hala ban, hala bin, hala bun
Hala ban, hala ban, hala bin, bin, bun, ban
Hala, hala ban, hala bin, hala bun

Brilha la luna, oh, oh, oh
Mira que bela
Brilha la luna, oh, oh, oh
Una bela luna siempre va brilhar

Brilha la luna, oh, oh, oh
Mira que bela
Brilha la luna, oh, oh, oh
Una bela luna siempre va brilhar

Brilha la luna, oh, oh, oh
Brilha la luna, oh, oh, oh
Brilha la luna, oh, oh, oh
Brilha la luna, oh, oh, oh
Brilha la luna, oh, oh, oh
Brilha la luna, oh, oh, oh
Brilha la luna, oh, oh, oh"
